Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,25,1850,1837,12,2488,3.813085318,8.540155411
3,1,1,1,26,1984,1970,13,2483,3.805422306,11.25693607
3,1,1,1,27,2040,2026,13,2488,3.813085318,7.960164547
3,1,1,1,28,2147,2131,16,2484,3.806954861,6.759599686
3,1,1,1,29,2252,2236,16,2480,3.800824642,10.55396938
3,1,1,1,30,2335,2319,15,2485,3.808487415,8.980759621
4,1,1,2,1,137,136,0,2497,3.826878548,7.135281086
4,1,1,2,2,260,258,1,2498,3.828411102,10.37533474
4,1,1,2,3,400,397,2,2498,3.828411102,6.889595985
4,1,1,2,4,511,508,2,2498,3.828411102,13.42882538
4,1,1,2,5,696,692,3,2498,3.828411102,7.393126011
4,1,1,2,6,806,802,3,2499,3.829943657,9.686155319
4,1,1,2,7,970,961,8,2501,3.833009005,8.670311928
4,1,1,2,8,1092,1087,5,2503,3.836074114,7.140492439
4,1,1,2,9,1223,1217,5,2504,3.837606668,9.411897659
4,1,1,2,10,1389,1379,10,2497,3.826878548,9.006114006
4,1,1,2,11,1517,1509,7,2501,3.833009005,8.908679008
4,1,1,2,12,1698,1690,7,2503,3.836074114,7.406367302
4,1,1,2,13,1831,1823,8,2499,3.829943657,6.706693172
4,1,1,2,14,2017,2008,8,2502,3.834541559,7.925711632
4,1,1,2,15,2131,2118,13,2498,3.828411102,8.813621521
4,1,1,2,16,2318,2308,10,2504,3.837606668,7.755838871
4,1,1,2,17,2500,2485,14,2499,3.829943657,7.471235275
4,1,1,2,18,2645,2630,14,2505,3.839139223,8.095552444
4,1,1,2,19,2890,2877,13,2500,3.83147645,7.118227482
4,1,1,2,20,2944,2929,15,2498,3.828411102,10.55928516
4,1,1,2,21,3164,3147,16,2495,3.823813438,11.27627468
4,1,1,2,22,3275,3260,14,2502,3.834541559,10.53968811
4,1,1,2,23,3542,3527,14,2501,3.833009005,10.44975281
4,1,1,2,24,3666,3650,15,2500,3.83147645,8.488289833
4,1,1,2,25,3873,3856,17,2500,3.83147645,8.363405228
4,1,1,2,26,4066,4046,20,2503,3.836074114,8.468310356
4,1,1,2,27,4261,4241,20,2503,3.836074114,5.690749168
4,1,1,2,28,4569,4551,18,2497,3.826878548,5.611346245
4,1,1,2,29,4670,4650,19,2500,3.83147645,9.829553604
4,1,1,2,30,4858,4831,27,2496,3.825345993,8.120635033
4,1,1,2,1,135,134,0,2509,3.84526968,6.938383579
4,1,1,2,2,253,251,1,2509,3.84526968,10.0948925
4,1,1,2,3,408,406,2,2509,3.84526968,7.75633812
4,1,1,2,4,526,524,2,2509,3.84526968,10.25210285
4,1,1,2,5,665,662,3,2509,3.84526968,7.079572201
4,1,1,2,6,803,798,4,2509,3.84526968,9.585024834
4,1,1,2,7,949,944,4,2507,3.842204571,12.64147758
4,1,1,2,8,1088,1083,5,2508,3.843737125,8.797286034
4,1,1,2,9,1280,1274,6,2508,3.843737125,8.849069595
4,1,1,2,10,1367,1356,11,2508,3.843737125,7.096187115
4,1,1,2,11,1522,1514,7,2510,3.846802235,8.049611092
4,1,1,2,12,1716,1707,8,2509,3.84526968,8.891475677
4,1,1,2,13,1872,1861,11,2513,3.851400137,8.531228065
4,1,1,2,14,2027,2014,12,2508,3.843737125,10.85817242
4,1,1,2,15,2218,2208,9,2513,3.851400137,7.771219254
4,1,1,2,16,2332,2322,10,2509,3.84526968,7.84504509
4,1,1,2,17,2497,2486,11,2513,3.851400137,9.717059135
4,1,1,2,18,2666,2654,11,2509,3.84526968,8.447785378
4,1,1,2,19,2815,2800,15,2507,3.842204571,10.07013035
4,1,1,2,20,3030,3018,12,2512,3.849867344,9.949867249
4,1,1,2,21,3154,3140,13,2511,3.848334789,10.33101463
4,1,1,2,22,3269,3254,14,2508,3.843737125,9.772584915
4,1,1,2,23,3545,3528,17,2508,3.843737125,11.22892857
4,1,1,2,24,3633,3618,15,2510,3.846802235,8.239631653
4,1,1,2,25,3869,3853,16,2509,3.84526968,7.938034058
4,1,1,2,26,4069,4052,17,2509,3.84526968,8.669109344
4,1,1,2,27,4204,4186,18,2512,3.849867344,9.114141464
4,1,1,2,28,4464,4446,18,2507,3.842204571,9.379490852
4,1,1,2,29,4616,4596,19,2510,3.846802235,12.66594696
4,1,1,2,30,4775,4748,26,2506,3.840671778,8.565359116
4,1,1,2,1,131,131,0,2514,3.852932692,8.422792435
4,1,1,2,2,268,266,1,2514,3.852932692,9.22418499
4,1,1,2,3,390,388,2,2514,3.852932692,7.134322643
4,1,1,2,4,524,521,2,2514,3.852932692,9.40435791
4,1,1,2,5,684,681,3,2515,3.854465246,6.648020267
4,1,1,2,6,810,806,4,2517,3.857530355,9.525054932
4,1,1,2,7,952,945,6,2519,3.860595465,11.07056618
4,1,1,2,8,1085,1079,5,2520,3.862128258,7.763367176
4,1,1,2,9,1238,1232,6,2522,3.865193367,6.180191994
4,1,1,2,10,1385,1378,6,2516,3.855997801,7.634274483
4,1,1,2,11,1544,1537,7,2520,3.862128258,6.886869431
4,1,1,2,12,1658,1650,7,2520,3.862128258,7.710029125
4,1,1,2,13,1804,1795,8,2518,3.85906291,6.786306381
4,1,1,2,14,1951,1942,9,2519,3.860595465,6.799823761
4,1,1,2,15,2128,2115,12,2518,3.85906291,7.353426456
4,1,1,2,16,2298,2284,13,2517,3.857530355,8.376040459
4,1,1,2,17,2436,2425,11,2521,3.863660812,7.711821079
4,1,1,2,18,2602,2590,11,2517,3.857530355,7.529290676
4,1,1,2,19,2797,2785,12,2520,3.862128258,9.735737801
4,1,1,2,20,3000,2984,15,2518,3.85906291,7.284633636
4,1,1,2,21,3096,3081,14,2517,3.857530355,8.565337181
4,1,1,2,22,3305,3287,17,2517,3.857530355,9.324689865
4,1,1,2,23,3467,3452,14,2515,3.854465246,9.034085274
4,1,1,2,24,3633,3617,15,2514,3.852932692,8.677961349
4,1,1,2,25,3786,3766,20,2514,3.852932692,8.604827881
4,1,1,2,26,4027,4007,20,2515,3.854465246,6.966111183
4,1,1,2,27,4136,4115,20,2518,3.85906291,8.127540588
4,1,1,2,28,4380,4361,18,2521,3.863660812,7.532110691
4,1,1,2,29,4596,4576,19,2516,3.855997801,7.192557335
4,1,1,2,30,4668,4645,23,2519,3.860595465,9.277632713
5,1,1,3,1,206,205,0,2518,3.85906291,8.352376938
5,1,1,3,2,405,403,1,2518,3.85906291,5.495722771
5,1,1,3,3,625,623,2,2519,3.860595465,7.34380722
5,1,1,3,4,818,815,3,2520,3.862128258,7.564217567
5,1,1,3,5,1008,1004,4,2521,3.863660812,13.69254875
5,1,1,3,6,1222,1217,4,2524,3.868258476,8.815626144
5,1,1,3,7,1432,1427,5,2524,3.868258476,7.301682949
5,1,1,3,8,1621,1614,6,2520,3.862128258,8.787881851
5,1,1,3,9,1888,1878,10,2524,3.868258476,7.273880959
5,1,1,3,10,2077,2068,8,2521,3.863660812,6.911820889
5,1,1,3,11,2331,2322,8,2523,3.866725922,8.943499565
5,1,1,3,12,2586,2576,10,2522,3.865193367,8.143488884
5,1,1,3,13,2777,2764,13,2519,3.860595465,8.275585175
5,1,1,3,14,3052,3040,11,2525,3.869791031,8.032207489
5,1,1,3,15,3258,3246,12,2526,3.871323586,8.622848511
5,1,1,3,16,3548,3535,12,2523,3.866725922,11.0923233
5,1,1,3,17,3767,3753,13,2521,3.863660812,7.894659996
5,1,1,3,18,4033,4018,14,2519,3.860595465,9.543607712
5,1,1,3,19,4272,4256,15,2519,3.860595465,10.68885136
5,1,1,3,20,4561,4544,16,2519,3.860595465,7.629161835
5,1,1,3,21,4851,4834,17,2521,3.863660812,6.2864995
5,1,1,3,22,5044,5023,20,2523,3.866725922,6.339596272
5,1,1,3,23,5298,5279,18,2518,3.85906291,6.871399403
5,1,1,3,24,5670,5650,20,2520,3.862128258,6.609904766
5,1,1,3,25,5871,5851,20,2518,3.85906291,5.627837181
5,1,1,3,26,6248,6227,21,2522,3.865193367,8.317312241
5,1,1,3,27,6520,6494,25,2524,3.868258476,9.608799934
5,1,1,3,28,6752,6726,26,2523,3.866725922,11.09601212
5,1,1,3,29,7072,7047,24,2524,3.868258476,8.927885056
5,1,1,3,30,7279,7253,25,2518,3.85906291,10.0724268
5,1,1,3,1,202,201,0,2536,3.886649609,13.60789204
5,1,1,3,2,398,396,1,2536,3.886649609,15.89252758
5,1,1,3,3,582,580,2,2536,3.886649609,14.87009716
5,1,1,3,4,792,784,7,2536,3.886649609,13.66975594
5,1,1,3,5,1011,1007,4,2538,3.889714718,13.96961689
5,1,1,3,6,1210,1201,8,2541,3.89431262,15.90436268
5,1,1,3,7,1427,1421,5,2543,3.897377729,17.60949135
5,1,1,3,8,1603,1596,6,2543,3.897377729,9.067468643
5,1,1,3,9,1892,1882,10,2541,3.89431262,8.501237869
5,1,1,3,10,2062,2054,8,2536,3.886649609,7.784347057
5,1,1,3,11,2350,2338,12,2542,3.895845175,6.600099087
5,1,1,3,12,2531,2518,12,2538,3.889714718,9.161865234
5,1,1,3,13,2832,2822,10,2543,3.897377729,8.255644798
5,1,1,3,14,3020,3009,11,2541,3.89431262,8.414779663
5,1,1,3,15,3281,3269,12,2537,3.888182163,9.08930397
5,1,1,3,16,3497,3483,13,2544,3.898910284,7.594175816
5,1,1,3,17,3714,3696,17,2540,3.892780066,10.85890579
5,1,1,3,18,3994,3979,14,2539,3.891247272,8.347698212
5,1,1,3,19,4266,4249,16,2540,3.892780066,7.856842995
5,1,1,3,20,4463,4446,16,2538,3.889714718,8.988244057
5,1,1,3,21,4744,4724,19,2541,3.89431262,8.464373589
5,1,1,3,22,5025,5004,21,2543,3.897377729,10.24585629
5,1,1,3,23,5259,5237,22,2536,3.886649609,7.174152374
5,1,1,3,24,5555,5536,19,2538,3.889714718,5.096509457
5,1,1,3,25,5862,5841,20,2536,3.886649609,6.04633522
5,1,1,3,26,6118,6094,24,2544,3.898910284,6.837133884
5,1,1,3,27,6390,6367,23,2539,3.891247272,7.372567177
5,1,1,3,28,6647,6623,23,2538,3.889714718,4.924550533
5,1,1,3,29,6968,6944,24,2539,3.891247272,9.830292702
5,1,1,3,30,7137,7113,24,2540,3.892780066,5.882627964
5,1,1,3,1,195,194,0,2543,3.897377729,7.188383579
5,1,1,3,2,393,391,1,2543,3.897377729,8.865160942
5,1,1,3,3,605,603,2,2544,3.898910284,6.772934437
5,1,1,3,4,797,790,6,2544,3.898910284,11.68000698
5,1,1,3,5,1009,1005,4,2546,3.901975393,8.193675041
5,1,1,3,6,1216,1211,5,2546,3.901975393,9.482025146
5,1,1,3,7,1411,1403,8,2542,3.895845175,8.455369949
5,1,1,3,8,1674,1667,6,2545,3.900442839,7.025505543
5,1,1,3,9,1875,1867,7,2540,3.892780066,10.12180328
5,1,1,3,10,2083,2074,8,2545,3.900442839,9.280389786
5,1,1,3,11,2305,2296,9,2541,3.89431262,9.704216957
5,1,1,3,12,2561,2552,9,2544,3.898910284,10.5603056
5,1,1,3,13,2805,2794,10,2545,3.900442839,9.557675362
5,1,1,3,14,3011,2999,12,2541,3.89431262,9.269976616
5,1,1,3,15,3287,3275,12,2539,3.891247272,8.035611153
5,1,1,3,16,3513,3499,13,2547,3.903508186,8.884037018
5,1,1,3,17,3750,3734,16,2545,3.900442839,10.46690083
5,1,1,3,18,3948,3933,14,2543,3.897377729,15.08859825
5,1,1,3,19,4210,4190,19,2544,3.898910284,8.411881447
5,1,1,3,20,4537,4521,16,2544,3.898910284,10.70666313
5,1,1,3,21,4734,4716,17,2546,3.901975393,8.271989822
5,1,1,3,22,4996,4974,22,2541,3.89431262,9.563777924
5,1,1,3,23,5324,5304,19,2543,3.897377729,7.922784805
5,1,1,3,24,5550,5530,19,2547,3.903508186,6.785644531
5,1,1,3,25,5848,5828,20,2543,3.897377729,6.046695232
5,1,1,3,26,6102,6081,21,2548,3.905040741,8.884026527
5,1,1,3,27,6383,6361,22,2542,3.895845175,8.175621033
5,1,1,3,28,6788,6762,26,2544,3.898910284,15.24243069
