Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
3,1,1,1,4,34,33,1,3506,42.703125,82.81640625,3631.519531,5.373262405,0.065446407,0.126923636,5.565632343,0,0,12.92863464,12.92863464
3,1,1,1,5,35,33,1,3488,42.7578125,82.81640625,3613.574219,5.345675945,0.065530218,0.126923636,5.538129807,0,0,11.94726276,11.94726276
3,1,1,1,6,33,31,1,3488,42.7578125,82.83203125,3613.589844,5.345675945,0.065530218,0.126947582,5.538153648,0,0,11.54515934,11.54515934
3,1,1,1,7,34,32,2,3489,42.44140625,82.84765625,3614.289063,5.3472085,0.065045297,0.126971528,5.539225101,0,0,15.5322876,15.5322876
3,1,1,1,8,34,31,2,3489,42.44140625,82.41015625,3613.851563,5.3472085,0.065045297,0.12630102,5.538554668,0,0,12.93571568,12.93571568
3,1,1,1,9,32,30,2,3489,42.4921875,82.39453125,3613.886719,5.3472085,0.065123126,0.126277074,5.538608551,0,0,16.55735588,16.55735588
3,1,1,1,10,34,31,2,3490,42.4921875,82.41796875,3614.910156,5.348741055,0.065123126,0.126313001,5.540177345,0,0,10.64450264,10.64450264
3,1,1,1,11,51,49,2,3490,42.49609375,82.4140625,3614.910156,5.348741055,0.065129109,0.126307011,5.540177345,0,0,16.5635891,16.5635891
3,1,1,1,12,35,32,3,3490,42.4765625,82.4140625,3614.890625,5.348741055,0.06509918,0.126307011,5.540147305,0,0,12.60402679,12.60402679
3,1,1,1,13,35,32,3,3490,42.47265625,82.41796875,3614.890625,5.348741055,0.065093189,0.126313001,5.540147305,0,0,11.19888306,11.19888306
3,1,1,1,14,36,32,3,3491,42.47265625,82.42578125,3615.898438,5.350273609,0.065093189,0.126324967,5.54169178,0,0,15.14492035,15.14492035
3,1,1,1,15,36,32,3,3475,42.47265625,82.42578125,3599.898438,5.325752258,0.065093189,0.126324967,5.517170429,0,0,13.81307983,13.81307983
3,1,1,1,16,36,32,3,3475,42.4765625,82.42578125,3599.902344,5.325752258,0.06509918,0.126324967,5.517176628,0,0,14.0732708,14.0732708
3,1,1,1,17,35,31,4,3475,42.48046875,82.44140625,3599.921875,5.325752258,0.065105163,0.126348913,5.517206192,0,0,13.07174587,13.07174587
3,1,1,1,18,47,42,4,3475,42.48046875,82.52734375,3600.007813,5.325752258,0.065105163,0.126480624,5.517338276,0,0,11.74921608,11.74921608
3,1,1,1,19,47,42,4,3475,42.48046875,82.515625,3599.996094,5.325752258,0.065105163,0.126462668,5.517320156,0,0,13.69553661,13.69553661
3,1,1,1,20,50,45,5,3475,42.48046875,82.515625,3599.996094,5.325752258,0.065105163,0.126462668,5.517320156,0,0,14.31470203,14.31470203
3,1,1,1,21,51,45,5,3475,42.62109375,82.5,3600.121094,5.325752258,0.065320686,0.126438722,5.517511845,0,0,16.13791466,16.13791466
3,1,1,1,22,50,44,5,3475,42.62109375,82.51171875,3600.132813,5.325752258,0.065320686,0.126456678,5.517529488,0,0,13.66906738,13.66906738
3,1,1,1,23,51,45,5,3475,42.62109375,82.51171875,3600.132813,5.325752258,0.065320686,0.126456678,5.517529488,0,0,13.94182777,13.94182777
3,1,1,1,24,51,45,6,3475,42.6953125,82.51171875,3600.207031,5.325752258,0.065434434,0.126456678,5.517643452,0,0,13.70442486,13.70442486
3,1,1,1,25,52,45,6,3475,42.69140625,82.51171875,3600.203125,5.325752258,0.065428443,0.126456678,5.517637253,0,0,13.67158318,13.67158318
3,1,1,1,26,53,47,6,3476,42.69140625,82.51171875,3601.203125,5.327284813,0.065428443,0.126456678,5.519169807,0,0,14.91393471,14.91393471
3,1,1,1,27,54,47,7,3477,42.68359375,82.51171875,3602.195313,5.328817368,0.06541647,0.126456678,5.520690441,0,0,13.99462986,13.99462986
3,1,1,1,28,58,50,7,3477,42.68359375,82.51171875,3602.195313,5.328817368,0.06541647,0.126456678,5.520690441,0,0,17.33468819,17.33468819
3,1,1,1,29,53,46,7,3477,42.6875,82.50390625,3602.191406,5.328817368,0.06542246,0.126444712,5.520684719,0,0,15.25147724,15.25147724
3,1,1,1,30,53,45,7,3478,42.6875,82.4921875,3603.179688,5.330349922,0.06542246,0.126426741,5.522199154,0,0,15.425457,15.425457
3,1,1,1,1,58,35,22,3709,45.25390625,82.37109375,3836.625,5.684378147,0.069355711,0.126241162,5.879974842,0,0,12.01774502,12.01774502
3,1,1,1,2,33,32,0,3662,45.26171875,82.359375,3789.621094,5.612346649,0.069367684,0.126223192,5.807937622,0,0,17.64237595,17.64237595
3,1,1,1,3,37,33,4,3662,45.26171875,82.3828125,3789.644531,5.612346649,0.069367684,0.126259118,5.807973385,0,0,13.97445774,13.97445774
3,1,1,1,4,33,32,1,3498,45.26171875,82.3828125,3625.644531,5.361001492,0.069367684,0.126259118,5.556628227,0,0,15.40559387,15.40559387
3,1,1,1,5,47,45,1,3498,45.265625,82.43359375,3625.699219,5.361001492,0.069373667,0.126336947,5.556712151,0,0,12.59530067,12.59530067
3,1,1,1,6,34,32,1,3498,45.2734375,82.43359375,3625.707031,5.361001492,0.06938564,0.126336947,5.556724072,0,0,12.71584797,12.71584797
3,1,1,1,7,34,32,2,3498,45.26953125,82.44921875,3625.71875,5.361001492,0.069379658,0.126360893,5.556742191,0,0,17.37537766,17.37537766
3,1,1,1,8,34,32,2,3498,45.26953125,82.40234375,3625.671875,5.361001492,0.069379658,0.126289055,5.556670189,0,0,12.71687126,12.71687126
3,1,1,1,9,36,33,2,3498,45.2734375,82.38671875,3625.660156,5.361001492,0.06938564,0.126265109,5.556652069,0,0.190830648,12.77964592,12.97047615
3,1,1,1,10,35,32,3,3498,45.27734375,84.03515625,3627.3125,5.361001492,0.069391631,0.128791481,5.559184551,0,0,13.10364914,13.10364914
3,1,1,1,11,35,32,3,3498,45.27734375,84.06640625,3627.34375,5.361001492,0.069391631,0.128839374,5.559232712,0,0,16.67388153,16.67388153
3,1,1,1,12,35,32,3,3498,45.27734375,84.0625,3627.339844,5.361001492,0.069391631,0.128833398,5.559226513,0,0,13.69402409,13.69402409
3,1,1,1,13,39,32,6,3498,45.2734375,84.07421875,3627.347656,5.361001492,0.06938564,0.128851354,5.559238434,0,0,12.84895802,12.84895802
3,1,1,1,14,36,33,3,3499,45.2734375,84.0625,3628.335938,5.362534523,0.06938564,0.128833398,5.560753345,0,0,13.98810482,13.98810482
3,1,1,1,15,36,32,3,3499,45.2734375,84.0703125,3628.34375,5.362534523,0.06938564,0.128845364,5.560765743,0,0,11.88875008,11.88875008
3,1,1,1,16,37,33,4,3499,45.71875,84.046875,3628.765625,5.362534523,0.070068121,0.128809452,5.561411858,0,0,13.31930923,13.31930923
3,1,1,1,17,37,32,4,3500,45.72265625,84.08984375,3629.8125,5.364067078,0.070074111,0.1288753,5.563016415,0,0,14.59700489,14.59700489
3,1,1,1,18,47,41,5,3500,45.6953125,84.09375,3629.789063,5.364067078,0.070032202,0.128881291,5.562980652,0,0,11.77458572,11.77458572
3,1,1,1,19,49,44,5,3500,45.73828125,84.1015625,3629.839844,5.364067078,0.070098057,0.128893256,5.563058376,0,0,15.00229836,15.00229836
3,1,1,1,20,48,43,5,3500,45.7421875,84.08984375,3629.832031,5.364067078,0.07010404,0.1288753,5.563046455,0,0,13.47609138,13.47609138
3,1,1,1,21,49,44,5,3501,45.4453125,82.14453125,3628.589844,5.365599632,0.069649056,0.125893936,5.561142445,0,0,15.09296322,15.09296322
3,1,1,1,22,49,43,5,3502,45.4453125,82.14453125,3629.589844,5.367132187,0.069649056,0.125893936,5.562674999,0,0,17.30384827,17.30384827
3,1,1,1,23,57,51,5,3502,45.4453125,82.14453125,3629.589844,5.367132187,0.069649056,0.125893936,5.562674999,0,0,16.56853104,16.56853104
3,1,1,1,24,50,43,6,3503,45.4453125,82.8125,3631.257813,5.368664742,0.069649056,0.12691766,5.565231323,0,0,14.56516266,14.56516266
3,1,1,1,25,50,44,6,3503,45.44921875,82.8125,3631.261719,5.368664742,0.069655046,0.12691766,5.565237522,0,0,13.29133987,13.29133987
3,1,1,1,26,51,45,6,3504,45.44921875,82.8125,3632.261719,5.370197296,0.069655046,0.12691766,5.566770077,0,0,16.56457901,16.56457901
3,1,1,1,27,52,45,7,3504,45.44921875,82.80078125,3632.25,5.370197296,0.069655046,0.126899689,5.566751957,0,0,15.19493484,15.19493484
3,1,1,1,28,52,45,6,3504,45.44140625,82.8828125,3632.324219,5.370197296,0.069643073,0.127025411,5.566865921,0,0,12.47533417,12.47533417
3,1,1,1,29,53,45,7,3504,45.4375,82.8828125,3632.320313,5.370197296,0.069637083,0.127025411,5.566859722,0,0,11.92863464,11.92863464
3,1,1,1,30,53,45,8,3504,45.4140625,82.7578125,3632.171875,5.370197296,0.069601163,0.126833841,5.566632271,0,0,14.15524483,14.15524483
4,1,1,2,1,80,57,22,3307,34.3359375,99.17578125,3440.511719,5.068276882,0.052622933,0.151995867,5.272895813,0.37151438,0,14.34624767,14.71776199
4,1,1,2,2,33,31,1,3255,37.8671875,99.18359375,3392.050781,4.988582134,0.058034893,0.152007833,5.198625088,0.190729782,0,15.03795528,15.22868538
4,1,1,2,3,34,32,1,3255,40.79296875,99.1953125,3394.988281,4.988582134,0.062518917,0.152025804,5.203126907,0.191770941,0,15.02072525,15.2124958
4,1,1,2,4,36,34,2,3098,40.8984375,99.19140625,3238.089844,4.747965336,0.062680557,0.152019814,4.962665558,0,0,16.74940681,16.74940681
4,1,1,2,5,44,41,2,3098,40.9453125,99.1796875,3238.125,4.747965336,0.062752396,0.152001858,4.96271944,0,0,18.27999115,18.27999115
4,1,1,2,6,37,34,2,3098,40.953125,97.8125,3236.765625,4.747965336,0.062764369,0.149906516,4.960636139,0,0,17.42554665,17.42554665
