Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
1,0,0,1,17,62,34,28,3418,41.515625,150.015625,3609.53125,5.23839426,0.063626453,0.229912534,5.531933308,0,0,15.87892723,15.87892723
1,0,0,1,18,58,34,24,3455,41.5390625,149.9570313,3646.496094,5.295100212,0.063662373,0.229822725,5.588585377,0,0,17.37266922,17.37266922
1,0,0,1,18,59,32,26,3466,41.55078125,150.0664063,3657.617188,5.31195879,0.063680336,0.229990348,5.605629444,0,0,12.85825062,12.85825062
1,0,0,1,19,68,42,25,3493,41.60546875,149.9726563,3684.578125,5.353338718,0.063764147,0.229846671,5.646949768,0,0,11.89425087,11.89425087
1,0,0,1,19,60,34,25,3467,41.6171875,149.9726563,3658.589844,5.313491344,0.063782111,0.229846671,5.607120037,0,0,12.35281944,12.35281944
1,0,0,1,20,58,32,25,3467,41.62890625,149.9921875,3658.621094,5.313491344,0.063800067,0.229876608,5.607168198,0,0,15.84213066,15.84213066
1,0,0,1,20,63,37,26,3484,41.62890625,150.046875,3675.675781,5.33954525,0.063800067,0.229960427,5.63330555,0,0,16.72102737,16.72102737
1,0,0,1,21,59,33,25,3503,41.60546875,150.0351563,3694.640625,5.368664742,0.063764147,0.229942456,5.662371159,0,0,19.26202774,19.26202774
1,0,0,1,21,62,35,27,3487,41.6328125,149.9921875,3678.625,5.344143391,0.063806057,0.229876608,5.637825966,0,0,13.0831213,13.0831213
1,0,0,1,22,60,34,26,3568,41.6796875,149.9882813,3759.667969,5.468283176,0.063877895,0.229870617,5.762031555,0,0,13.45672131,13.45672131
1,0,0,1,22,63,36,27,3506,41.65234375,149.9882813,3697.640625,5.373262405,0.063835986,0.229870617,5.666968822,0,0,13.51921844,13.51921844
1,0,0,1,23,66,37,28,3547,41.65625,150.046875,3738.703125,5.436098576,0.063841976,0.229960427,5.729900837,0,0,14.43013859,14.43013859
1,0,0,1,23,63,35,27,3538,41.80859375,150.0625,3729.871094,5.422305107,0.064075455,0.229984373,5.716364861,0,0,13.36933994,13.36933994
1,0,0,1,24,61,34,27,3555,41.80859375,150.0859375,3746.894531,5.448359489,0.064075455,0.230020285,5.742455006,0,0,14.87521076,14.87521076
1,0,0,1,24,59,33,25,3567,42.02734375,150.0898438,3759.117188,5.466750622,0.064410709,0.230026275,5.761187553,0,0,15.20155239,15.20155239
1,0,0,1,25,66,36,29,3599,42.03125,150.046875,3791.078125,5.515793324,0.064416699,0.229960427,5.81017065,0,0,13.06742001,13.06742001
1,0,0,1,25,61,33,28,3578,42.07421875,150,3770.074219,5.483608723,0.064482547,0.229888573,5.777979851,0,0,11.44482327,11.44482327
1,0,0,1,26,63,36,27,3611,42.06640625,150.0195313,3803.085938,5.534184456,0.064470574,0.22991851,5.828573704,0,0,13.2965641,13.2965641
1,0,0,1,26,61,33,28,3594,42.0703125,149.9960938,3786.066406,5.50813055,0.064476565,0.229882598,5.802489758,0,0,15.20343304,15.20343304
