Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
13,1,3,9,30,619,503,115,2894,44.8984375,99.13671875,3038.035156,4.435317039,0.068810917,0.151935995,4.656064034,0,0,14.75339508,14.75339508
13,1,3,9,1,101,75,26,4056,34.75390625,136.9609375,4227.714844,6.216187,0.053263508,0.209905043,6.479355335,0,0,14.62442303,14.62442303
13,1,3,9,2,50,44,6,4053,38.41015625,130.6054688,4222.015625,6.211589336,0.058867041,0.200164706,6.470621109,0,0,13.96750927,13.96750927
13,1,3,9,3,66,56,9,3912,40.859375,124.9609375,4077.820313,5.995494366,0.062620692,0.191513956,6.249629021,0,0,15.31450176,15.31450176
13,1,3,9,4,69,57,12,3889,40.9375,121.1015625,4051.039063,5.960244656,0.062740423,0.185599104,6.208584309,0,0,14.23124409,14.23124409
13,1,3,9,5,85,69,15,3890,41.53515625,116.5039063,4048.039063,5.96177721,0.06365639,0.178552791,6.203986168,0,0,17.71322632,17.71322632
13,1,3,9,6,96,78,18,3891,41.19140625,116.5585938,4048.75,5.963309765,0.063129559,0.178636596,6.205075741,0,0,13.47114849,13.47114849
13,1,3,9,7,99,78,21,3891,41.3046875,116.3085938,4048.613281,5.963309765,0.063303173,0.178253457,6.204866409,0,0,13.55096436,13.55096436
13,1,3,9,8,112,88,23,3891,41.3046875,116.5,4048.804688,5.963309765,0.063303173,0.178546801,6.205159664,0,0,12.35794544,12.35794544
13,1,3,9,9,130,103,27,3892,41.31640625,116.484375,4049.800781,5.964842319,0.063321136,0.178522855,6.206686497,0,0,18.0764637,18.0764637
13,1,3,9,10,145,114,30,3894,41.37109375,116.484375,4051.855469,5.967907429,0.063404948,0.178522855,6.209835052,0,0,13.14607811,13.14607811
13,1,3,9,11,147,113,34,3897,41.39453125,116.828125,4055.222656,5.972505093,0.063440867,0.179049686,6.214995861,0,0,15.33928394,15.33928394
13,1,3,9,12,177,134,42,3897,41.46484375,116.8320313,4055.296875,5.972505093,0.063548625,0.179055661,6.215109348,0,0,12.90149117,12.90149117
13,1,3,9,13,227,180,46,3898,41.7890625,116.8984375,4056.6875,5.974038124,0.064045519,0.179157436,6.217241287,0,0,14.1295929,14.1295929
13,1,3,9,14,253,203,50,3901,41.79296875,116.9179688,4059.710938,5.978635788,0.064051509,0.179187372,6.221874714,0,0,13.06449509,13.06449509
13,1,3,9,15,279,216,63,3904,41.90234375,115.9570313,4061.859375,5.983233452,0.064219132,0.177714646,6.225167274,0.194921523,0,13.65506172,13.84998322
13,1,3,9,16,301,249,52,3904,41.91015625,116.9140625,4062.824219,5.983233452,0.064231113,0.179181382,6.226645947,0,0,15.34840012,15.34840012
13,1,3,9,17,295,233,62,3905,41.92578125,116.9140625,4063.839844,5.984766006,0.064255059,0.179181382,6.228202343,0,0,16.42708778,16.42708778
13,1,3,9,18,309,233,75,3892,41.9296875,116.2421875,4050.171875,5.964842319,0.064261042,0.178151682,6.207254887,0,0,13.38161659,13.38161659
13,1,3,9,19,334,268,65,3892,41.90625,114.7226563,4048.628906,5.964842319,0.064225122,0.175822854,6.204890251,0,0,14.69154644,14.69154644
13,1,3,9,20,341,270,71,3892,42.35546875,114.6796875,4049.035156,5.964842319,0.064913593,0.175757006,6.205513,0,0,13.87335396,13.87335396
13,1,3,9,21,374,291,83,3892,42.74609375,114.6796875,4049.425781,5.964842319,0.065512262,0.175757006,6.206111431,0,0,11.38330173,11.38330173
13,1,3,9,22,357,280,76,3892,43.12890625,114.6835938,4049.8125,5.964842319,0.066098951,0.175762996,6.20670414,0,0,13.70084572,13.70084572
13,1,3,9,23,403,323,80,3891,43.4921875,113.59375,4048.085938,5.963309765,0.066655718,0.17409271,6.20405817,0,0,14.57011509,14.57011509
13,1,3,9,24,427,342,84,3891,43.8125,113.4921875,4048.304688,5.963309765,0.067146622,0.173937052,6.204393387,0,0,15.98370361,15.98370361
13,1,3,9,25,456,369,87,3891,41.6640625,113.5234375,4046.1875,5.963309765,0.063853949,0.173984945,6.20114851,0,0,14.37360001,14.37360001
13,1,3,9,26,488,385,102,3892,42.1015625,113.5585938,4047.660156,5.964842319,0.064524457,0.174038827,6.20340538,0,0,15.63316441,15.63316441
13,1,3,9,27,476,383,92,3892,42.57421875,113.5664063,4048.140625,5.964842319,0.065248847,0.174050793,6.204142094,0,0,18.3513031,18.3513031
13,1,3,9,28,550,445,104,3892,43.05859375,112.8359375,4047.894531,5.964842319,0.065991193,0.172931284,6.203764915,0,0,13.92306709,13.92306709
13,1,3,9,29,575,475,100,3893,43.546875,112.671875,4049.21875,5.966374874,0.066739529,0.172679856,6.205794334,0,0,15.95692158,15.95692158
13,1,3,9,30,605,490,114,3894,44.53125,112.671875,4051.203125,5.967907429,0.068248175,0.172679856,6.208835602,0,0,13.56579018,13.56579018
13,1,3,9,1,71,45,25,4065,44.58984375,112.3554688,4221.945313,6.229980469,0.068337969,0.172194928,6.470513344,0,0,14.46819305,14.46819305
13,1,3,9,2,52,45,6,4052,44.6484375,112.375,4209.023438,6.210056782,0.068427771,0.172224864,6.450709343,0,0,13.75394344,13.75394344
13,1,3,9,3,68,58,9,3914,44.6484375,112.390625,4071.039063,5.998559475,0.068427771,0.172248811,6.239235878,0,0,12.87532711,12.87532711
13,1,3,9,4,70,57,13,3891,44.6484375,113.9570313,4049.605469,5.963309765,0.068427771,0.174649462,6.206387043,0,0,15.49055767,15.49055767
13,1,3,9,5,86,69,17,3882,44.58203125,113.984375,4040.566406,5.949516296,0.068325996,0.174691379,6.192533493,0,0,13.33035564,13.33035564
13,1,3,9,6,101,81,20,3883,44.5859375,114.0546875,4041.640625,5.951048851,0.068331987,0.174799129,6.194180012,0,0,13.51207924,13.51207924
13,1,3,9,7,117,94,22,3883,44.28515625,112.5859375,4039.871094,5.951048851,0.067871012,0.172548145,6.191468239,0,0,18.39562798,18.39562798
13,1,3,9,8,129,103,25,3883,44.265625,112.8554688,4040.121094,5.951048851,0.067841075,0.17296122,6.191851139,0,0,13.08240604,13.08240604
13,1,3,9,9,155,125,29,3884,44.3046875,112.890625,4041.195313,5.952581882,0.067900948,0.173015103,6.193498135,0,0,16.53429985,16.53429985
13,1,3,9,10,151,117,33,3886,44.3828125,112.8945313,4043.277344,5.955646992,0.068020679,0.173021093,6.196688652,0,0,13.92407131,13.92407131
13,1,3,9,11,165,128,36,3889,44.4296875,112.2226563,4045.652344,5.960244656,0.068092518,0.171991378,6.20032835,0,0,17.03879166,17.03879166
13,1,3,9,12,185,140,45,3889,44.4296875,112.3007813,4045.730469,5.960244656,0.068092518,0.172111109,6.200448513,0,0,13.42028522,13.42028522
13,1,3,9,13,204,154,50,3890,44.43359375,112.2851563,4046.71875,5.96177721,0.068098508,0.172087163,6.201962948,0,0,13.51449299,13.51449299
13,1,3,9,14,220,164,56,3893,44.4296875,112.2773438,4049.707031,5.966374874,0.068092518,0.172075197,6.206542492,0,0,16.13298416,16.13298416
13,1,3,9,15,244,181,63,3897,44.43359375,112.1484375,4053.582031,5.972505093,0.068098508,0.171877638,6.212481022,0,0,13.09114075,13.09114075
13,1,3,9,16,253,195,58,3897,44.421875,112.1484375,4053.570313,5.972505093,0.068080544,0.171877638,6.212463379,0,0,14.31210804,14.31210804
13,1,3,9,17,264,209,55,3897,44.44140625,109.9257813,4051.367188,5.972505093,0.068110481,0.168471217,6.209086895,0,0,14.26010609,14.26010609
13,1,3,9,18,310,233,77,3901,44.4453125,109.9023438,4055.347656,5.978635788,0.068116464,0.16843529,6.21518755,0,0,15.37699127,15.37699127
13,1,3,9,19,302,232,70,3901,44.75,109.9179688,4055.667969,5.978635788,0.068583429,0.168459237,6.215678215,0,0,15.75819206,15.75819206
13,1,3,9,20,364,295,69,3901,44.81640625,109.9140625,4055.730469,5.978635788,0.068685204,0.168453246,6.215774059,0,0,15.07256603,15.07256603
13,1,3,9,21,399,314,85,3901,44.81640625,109.90625,4055.722656,5.978635788,0.068685204,0.168441281,6.215762138,0,0,17.21790314,17.21790314
13,1,3,9,22,399,316,82,3901,44.8203125,109.9023438,4055.722656,5.978635788,0.068691187,0.16843529,6.215762138,0,0,16.12992477,16.12992477
13,1,3,9,23,403,322,81,3901,44.81640625,109.90625,4055.722656,5.978635788,0.068685204,0.168441281,6.215762138,0,0,15.0833931,15.0833931
13,1,3,9,24,415,321,94,3902,44.8125,109.8515625,4056.664063,5.980168343,0.068679214,0.168357462,6.217205048,0,0,14.53613949,14.53613949
13,1,3,9,25,456,367,88,3902,44.8125,109.8945313,4056.707031,5.980168343,0.068679214,0.168423325,6.217270851,0,0,18.96674538,18.96674538
13,1,3,9,26,496,396,100,3902,44.81640625,109.8945313,4056.710938,5.980168343,0.068685204,0.168423325,6.21727705,0,0,12.49103355,12.49103355
13,1,3,9,27,509,416,93,3902,44.921875,109.8828125,4056.804688,5.980168343,0.068846844,0.168405354,6.217420578,0,0,15.27816486,15.27816486
