Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,25,1878,1874,4,2481,3.802357197,8.445708275
3,1,1,1,26,1944,1940,4,2485,3.808487415,8.809314728
3,1,1,1,27,2047,2042,4,2481,3.802357197,8.111528397
3,1,1,1,28,2141,2136,4,2479,3.799291849,7.752528191
3,1,1,1,29,2231,2226,5,2483,3.805422306,7.215958118
3,1,1,1,30,2318,2313,5,2482,3.803889751,8.565366745
4,1,1,2,1,126,126,0,2496,3.825345993,9.108558655
4,1,1,2,2,261,260,0,2496,3.825345993,6.572813511
4,1,1,2,3,387,386,1,2496,3.825345993,8.571582794
4,1,1,2,4,515,514,1,2496,3.825345993,5.610426903
4,1,1,2,5,647,645,1,2496,3.825345993,10.54104519
4,1,1,2,6,786,784,2,2497,3.826878548,8.387360573
4,1,1,2,7,945,943,2,2499,3.829943657,10.52531433
4,1,1,2,8,1092,1089,2,2499,3.829943657,6.922595978
4,1,1,2,9,1226,1223,3,2495,3.823813438,7.9189291
4,1,1,2,10,1389,1386,3,2499,3.829943657,6.91475296
4,1,1,2,11,1502,1498,3,2499,3.829943657,6.742760658
4,1,1,2,12,1678,1674,3,2498,3.828411102,7.484927177
4,1,1,2,13,1808,1804,4,2501,3.833009005,7.000928879
4,1,1,2,14,1998,1994,4,2498,3.828411102,9.178612709
4,1,1,2,15,2136,2130,5,2501,3.833009005,7.324532986
4,1,1,2,16,2309,2303,5,2498,3.828411102,9.715251923
4,1,1,2,17,2515,2507,8,2503,3.836074114,10.61887455
4,1,1,2,18,2614,2608,5,2498,3.828411102,10.46715927
4,1,1,2,19,2805,2799,6,2495,3.823813438,9.472565651
4,1,1,2,20,2958,2952,6,2500,3.83147645,9.059305191
4,1,1,2,21,3149,3139,9,2497,3.826878548,7.949258327
4,1,1,2,22,3336,3329,7,2497,3.826878548,11.76908398
4,1,1,2,23,3495,3487,7,2498,3.828411102,6.806360245
4,1,1,2,24,3637,3629,8,2495,3.823813438,12.38484573
4,1,1,2,25,3883,3874,8,2495,3.823813438,9.917909622
4,1,1,2,26,4053,4044,8,2498,3.828411102,7.939477444
4,1,1,2,27,4259,4247,11,2498,3.828411102,9.343502045
4,1,1,2,28,4455,4446,9,2501,3.833009005,8.447800636
4,1,1,2,29,4595,4582,12,2497,3.826878548,9.514657021
4,1,1,2,30,4757,4744,12,2499,3.829943657,8.514554024
4,1,1,2,1,126,125,0,2508,3.843737125,8.729074478
4,1,1,2,2,263,263,0,2508,3.843737125,6.795574665
4,1,1,2,3,399,397,1,2508,3.843737125,9.742724419
4,1,1,2,4,568,567,1,2508,3.843737125,6.953835487
4,1,1,2,5,668,666,1,2510,3.846802235,8.05774498
4,1,1,2,6,793,788,5,2510,3.846802235,7.953490257
4,1,1,2,7,951,948,2,2510,3.846802235,7.027059555
4,1,1,2,8,1094,1092,2,2507,3.842204571,6.972754002
4,1,1,2,9,1260,1257,3,2509,3.84526968,11.21787167
4,1,1,2,10,1369,1366,3,2509,3.84526968,7.170993805
4,1,1,2,11,1555,1551,3,2507,3.842204571,7.404567242
4,1,1,2,12,1688,1684,4,2510,3.846802235,7.094995499
4,1,1,2,13,1827,1823,4,2506,3.840671778,8.884022713
4,1,1,2,14,1999,1994,4,2509,3.84526968,7.858995914
4,1,1,2,15,2152,2147,5,2505,3.839139223,6.799817085
4,1,1,2,16,2326,2321,5,2509,3.84526968,9.885962486
4,1,1,2,17,2503,2498,5,2506,3.840671778,9.068074226
4,1,1,2,18,2654,2648,5,2511,3.848334789,9.013360023
4,1,1,2,19,2815,2809,6,2507,3.842204571,7.949741364
4,1,1,2,20,2976,2970,6,2506,3.840671778,7.642942429
4,1,1,2,21,3114,3106,7,2505,3.839139223,7.124653339
4,1,1,2,22,3348,3341,7,2511,3.848334789,8.144625664
4,1,1,2,23,3535,3527,7,2511,3.848334789,7.709953308
4,1,1,2,24,3664,3656,8,2510,3.846802235,8.005058289
4,1,1,2,25,3845,3837,8,2509,3.84526968,7.846576691
4,1,1,2,26,4010,4001,8,2512,3.849867344,9.766044617
4,1,1,2,27,4205,4197,8,2512,3.849867344,7.034856796
4,1,1,2,28,4415,4406,9,2506,3.840671778,8.127552986
4,1,1,2,29,4630,4621,9,2509,3.84526968,8.989142418
4,1,1,2,30,4750,4740,9,2511,3.848334789,8.750045776
4,1,1,2,1,129,129,0,2513,3.851400137,10.30099201
4,1,1,2,2,261,261,0,2513,3.851400137,9.469774246
4,1,1,2,3,382,380,1,2513,3.851400137,12.65265083
4,1,1,2,4,545,544,1,2513,3.851400137,8.63120079
4,1,1,2,5,659,657,1,2513,3.851400137,8.681090355
4,1,1,2,6,801,799,2,2515,3.854465246,6.510673523
4,1,1,2,7,952,949,2,2516,3.855997801,10.10476875
4,1,1,2,8,1088,1085,2,2518,3.85906291,11.00405121
4,1,1,2,9,1197,1194,3,2518,3.85906291,7.248160839
4,1,1,2,10,1400,1397,3,2516,3.855997801,6.930765629
4,1,1,2,11,1543,1539,4,2517,3.857530355,7.841049194
4,1,1,2,12,1655,1651,4,2514,3.852932692,8.048005104
4,1,1,2,13,1836,1832,4,2518,3.85906291,8.489294052
4,1,1,2,14,1961,1957,4,2514,3.852932692,6.592452526
4,1,1,2,15,2140,2135,5,2518,3.85906291,8.344074249
4,1,1,2,16,2327,2322,5,2513,3.851400137,9.12035656
4,1,1,2,17,2475,2469,5,2517,3.857530355,7.007989407
4,1,1,2,18,2626,2620,5,2514,3.852932692,9.692147255
4,1,1,2,19,2781,2772,8,2519,3.860595465,10.38144684
4,1,1,2,20,2913,2903,9,2517,3.857530355,7.908610344
4,1,1,2,21,3095,3088,7,2515,3.854465246,10.90134335
4,1,1,2,22,3290,3280,9,2515,3.854465246,10.7831707
4,1,1,2,23,3469,3461,7,2513,3.851400137,8.328391075
4,1,1,2,24,3680,3673,7,2513,3.851400137,8.09553051
4,1,1,2,25,3849,3841,8,2513,3.851400137,8.137155533
4,1,1,2,26,4030,4022,8,2513,3.851400137,10.31659031
4,1,1,2,27,4173,4164,8,2516,3.855997801,10.27952194
4,1,1,2,28,4426,4417,9,2517,3.857530355,9.692023277
4,1,1,2,29,4557,4544,12,2518,3.85906291,6.940683842
4,1,1,2,30,4732,4718,13,2514,3.852932692,8.255786896
5,1,1,3,1,187,186,0,2523,3.866725922,10.2955122
5,1,1,3,2,404,403,1,2523,3.866725922,10.03081131
5,1,1,3,3,592,591,1,2523,3.866725922,7.183133125
5,1,1,3,4,790,788,2,2519,3.860595465,9.027858734
5,1,1,3,5,1016,1014,2,2520,3.862128258,7.962174892
5,1,1,3,6,1208,1205,3,2521,3.863660812,8.746023178
5,1,1,3,7,1465,1461,3,2525,3.869791031,8.599370956
5,1,1,3,8,1645,1641,4,2525,3.869791031,6.907119751
5,1,1,3,9,1863,1859,4,2521,3.863660812,7.605241776
5,1,1,3,10,2095,2089,5,2523,3.866725922,7.984545231
5,1,1,3,11,2329,2323,5,2522,3.865193367,8.75524807
5,1,1,3,12,2528,2522,6,2519,3.860595465,8.165266037
5,1,1,3,13,2791,2784,7,2522,3.865193367,7.694890976
5,1,1,3,14,3034,3027,6,2521,3.863660812,9.996119499
5,1,1,3,15,3261,3253,7,2520,3.862128258,9.463449478
5,1,1,3,16,3508,3500,7,2518,3.85906291,10.73776817
5,1,1,3,17,3797,3788,8,2524,3.868258476,8.564125061
5,1,1,3,18,4022,4013,8,2524,3.868258476,8.245473862
5,1,1,3,19,4233,4224,9,2523,3.866725922,6.925407887
5,1,1,3,20,4513,4503,9,2523,3.866725922,7.742823601
5,1,1,3,21,4780,4769,10,2525,3.869791031,5.031440258
5,1,1,3,22,5066,5055,10,2520,3.862128258,6.527825356
5,1,1,3,23,5500,5488,11,2520,3.862128258,5.01153183
5,1,1,3,24,5612,5600,11,2518,3.85906291,5.97102499
5,1,1,3,25,5890,5877,12,2521,3.863660812,5.457692146
5,1,1,3,26,6209,6196,12,2518,3.85906291,5.944149017
5,1,1,3,27,6529,6513,16,2518,3.85906291,6.125715256
5,1,1,3,28,6714,6700,13,2519,3.860595465,5.608879089
5,1,1,3,29,7038,7024,14,2519,3.860595465,7.087380409
5,1,1,3,30,7338,7324,14,2520,3.862128258,6.272211552
5,1,1,3,1,209,208,0,2539,3.891247272,9.173914909
5,1,1,3,2,402,401,1,2539,3.891247272,7.525204182
5,1,1,3,3,584,582,1,2539,3.891247272,10.61627674
5,1,1,3,4,830,828,2,2539,3.891247272,6.424010754
5,1,1,3,5,994,991,2,2539,3.891247272,8.111507416
5,1,1,3,6,1225,1218,6,2539,3.891247272,6.553538799
5,1,1,3,7,1431,1427,3,2537,3.888182163,6.432881832
5,1,1,3,8,1663,1659,4,2538,3.889714718,8.159801483
5,1,1,3,9,1855,1851,4,2537,3.888182163,9.609253883
5,1,1,3,10,2120,2112,7,2541,3.89431262,7.607136726
5,1,1,3,11,2312,2307,5,2536,3.886649609,6.553529739
5,1,1,3,12,2553,2547,5,2540,3.892780066,7.19781971
5,1,1,3,13,2769,2763,6,2538,3.889714718,9.422259331
5,1,1,3,14,3037,3030,6,2535,3.885117054,7.740494728
5,1,1,3,15,3292,3285,7,2540,3.892780066,10.99859619
5,1,1,3,16,3521,3511,10,2538,3.889714718,10.72831059
5,1,1,3,17,3743,3735,8,2536,3.886649609,9.007828712
5,1,1,3,18,3989,3978,11,2534,3.883584499,8.414702415
5,1,1,3,19,4259,4250,9,2540,3.892780066,7.579884052
5,1,1,3,20,4493,4483,9,2535,3.885117054,10.45107841
5,1,1,3,21,4735,4724,10,2537,3.888182163,7.700909138
5,1,1,3,22,5052,5041,10,2537,3.888182163,9.57137394
5,1,1,3,23,5282,5271,11,2542,3.895845175,9.118599892
5,1,1,3,24,5510,5498,11,2536,3.886649609,9.599752426
5,1,1,3,25,5774,5762,12,2540,3.892780066,7.786659241
5,1,1,3,26,6015,6002,12,2538,3.889714718,8.742643356
5,1,1,3,27,6373,6357,16,2536,3.886649609,11.06894112
5,1,1,3,28,6552,6535,16,2537,3.888182163,14.56324482
5,1,1,3,29,6754,6740,14,2537,3.888182163,11.46442318
5,1,1,3,30,7125,7110,14,2538,3.889714718,14.32993412
5,1,1,3,1,192,191,0,2540,3.892780066,7.754493713
5,1,1,3,2,405,404,1,2540,3.892780066,8.111431122
5,1,1,3,3,593,591,1,2540,3.892780066,9.656535149
5,1,1,3,4,787,785,2,2541,3.89431262,10.12324429
5,1,1,3,5,993,990,2,2542,3.895845175,8.304635048
5,1,1,3,6,1217,1214,3,2542,3.895845175,8.556406975
5,1,1,3,7,1399,1396,3,2542,3.895845175,6.752652645
5,1,1,3,8,1686,1679,7,2543,3.897377729,6.664331436
5,1,1,3,9,1841,1837,4,2540,3.892780066,7.841487885
5,1,1,3,10,2124,2116,8,2545,3.900442839,7.893759727
5,1,1,3,11,2320,2315,5,2541,3.89431262,6.508544922
5,1,1,3,12,2581,2575,6,2546,3.901975393,8.665092468
5,1,1,3,13,2778,2771,6,2544,3.898910284,9.820799828
5,1,1,3,14,3007,3000,6,2541,3.89431262,10.47037029
5,1,1,3,15,3244,3237,7,2540,3.892780066,7.473146915
5,1,1,3,16,3459,3452,7,2547,3.903508186,6.387620449
5,1,1,3,17,3763,3754,8,2544,3.898910284,8.370927811
5,1,1,3,18,4048,4039,8,2543,3.897377729,7.948691368
5,1,1,3,19,4214,4204,9,2543,3.897377729,8.903795242
5,1,1,3,20,4518,4508,10,2542,3.895845175,9.727692604
5,1,1,3,21,4762,4751,10,2545,3.900442839,10.72797489
5,1,1,3,22,5054,5043,10,2539,3.891247272,10.12553978
5,1,1,3,23,5261,5250,11,2541,3.89431262,9.948303223
5,1,1,3,24,5521,5508,12,2546,3.901975393,9.94474411
5,1,1,3,25,5807,5794,12,2543,3.897377729,9.182491302
5,1,1,3,26,6094,6078,15,2547,3.903508186,9.513938904
5,1,1,3,27,6395,6378,17,2543,3.897377729,8.768609047
5,1,1,3,28,6675,6658,17,2543,3.897377729,10.16726685
5,1,1,3,29,6879,6864,14,2543,3.897377729,8.539728165
5,1,1,3,30,7138,7123,14,2545,3.900442839,8.954665184
6,1,1,4,1,266,265,0,2549,3.906573296,9.588264465
6,1,1,4,2,535,534,1,2549,3.906573296,9.968595505
6,1,1,4,3,798,796,2,2549,3.906573296,11.02391815
6,1,1,4,4,1078,1076,2,2550,3.90810585,7.127351284
6,1,1,4,5,1339,1335,3,2550,3.90810585,7.393284798
6,1,1,4,6,1641,1637,4,2546,3.901975393,7.22885561
6,1,1,4,7,1928,1924,4,2549,3.906573296,6.398571491
6,1,1,4,8,2222,2217,5,2546,3.901975393,10.10250473
6,1,1,4,9,2568,2561,7,2548,3.905040741,9.713552475
6,1,1,4,10,2811,2801,9,2550,3.90810585,7.893176556
6,1,1,4,11,3117,3109,7,2550,3.90810585,7.33897686
6,1,1,4,12,3405,3397,8,2548,3.905040741,7.962431908
6,1,1,4,13,3754,3745,8,2546,3.901975393,9.772562981
6,1,1,4,14,4018,4009,9,2545,3.900442839,10.92305374
6,1,1,4,15,4464,4450,14,2552,3.911170959,8.772688866
6,1,1,4,16,4720,4710,10,2551,3.909638405,11.87082577
6,1,1,4,17,5011,5000,11,2552,3.911170959,15.97771645
6,1,1,4,18,5329,5317,11,2546,3.901975393,14.16060925
6,1,1,4,19,5674,5661,12,2547,3.903508186,8.288281441
6,1,1,4,20,6080,6067,12,2549,3.906573296,11.75775719
6,1,1,4,21,6399,6385,13,2547,3.903508186,10.41082478
6,1,1,4,22,6730,6715,14,2545,3.900442839,9.608903885
6,1,1,4,23,7243,7228,15,2552,3.911170959,8.572651863
6,1,1,4,24,7454,7435,19,2552,3.911170959,8.883617401
6,1,1,4,25,7772,7751,20,2550,3.90810585,15.12478447
6,1,1,4,26,8013,7995,17,2553,3.912703753,14.47014236
6,1,1,4,27,8599,8581,17,2548,3.905040741,18.88858604
6,1,1,4,28,8853,8834,18,2550,3.90810585,11.31030273
6,1,1,4,29,9254,9235,19,2549,3.906573296,17.78575706
6,1,1,4,30,9603,9583,20,2549,3.906573296,9.719291687
6,1,1,4,1,255,254,0,2558,3.920366526,10.28671455
6,1,1,4,2,528,526,1,2558,3.920366526,10.62320805
6,1,1,4,3,804,802,2,2558,3.920366526,10.23586655
6,1,1,4,4,1074,1071,2,2559,3.92189908,6.980238914
6,1,1,4,5,1389,1386,3,2561,3.924964428,6.778894901
6,1,1,4,6,1630,1626,3,2561,3.924964428,7.385519028
6,1,1,4,7,1888,1884,4,2560,3.923431873,14.38911533
6,1,1,4,8,2191,2186,5,2560,3.923431873,10.07693577
6,1,1,4,9,2511,2502,9,2561,3.924964428,7.678430557
6,1,1,4,10,2870,2863,6,2560,3.923431873,9.050232887
6,1,1,4,11,3221,3214,7,2559,3.92189908,7.082465172
6,1,1,4,12,3479,3468,11,2563,3.928029537,14.07601547
6,1,1,4,13,3679,3670,8,2563,3.928029537,14.0518589
6,1,1,4,14,3989,3980,9,2562,3.926496983,9.201998711
6,1,1,4,15,4382,4372,9,2561,3.924964428,8.134772301
