Campus,Precinct,Reticulation,Building,Meter Name,Meter Type,meter_id,description,make,manufacturer,type,Serial Number,model,yard_number,Building_No,Floor,Room_No,Meter_Description,Latitude,Longitude,IP_Address,Port,Location,Starting date
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),Silver Trees,Energy,4195,Silver Trees,Elster,Kocos,AS220,33104281,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),-,Energy,2660,Instandhouding Toevoer,Elster,Kocos,A1140,68509063,LiMo R2,7628,152,1,K1011,Instandhouding,-33.92543849,18.86500435,-,0,-,2022/05/01 00:00
-,JC Smuts 11 kV,-,-,-,Energy,2642,JC Smuts 11 kV,Elster,Kocos,A1700,41505849,LiMo R2,-,-,-,-,-,-33.93072654,18.86571034,-,0,-,2022/05/01 00:00
-,JC Smuts 11 kV,-,JC Smuts Klaslokaal - Blok C,-,Energy,2668,JC Smuts Klaslokaal - Blok C ,Elster,Kocos,A1140,58500435,LiMo R2,-,-,-,-,-,-33.93101366,18.86590192,-,0,-,2022/05/01 00:00
-,JC Smuts 11 kV,-,JC Smuts Nagraads - Blok A,-,Energy,2669,JC Smuts Nagraads (Blok A),ELSTER,Kocos,A1140,58500439,LiMo R2,-,-,-,-,-,-33.93080446,18.8655425,-,0,-,2022/05/01 00:00
-,JC Smuts 11 kV,-,JC Smuts Verkillers,-,Energy,2777,JC Smuts Verkillers,Elster,Kocos,A1140,78520568,LiMo R2,-,-,-,-,-,-33.93081336,18.86571417,-,0,-,2022/05/01 00:00
-,JC Smuts 11 kV,-,JC Smuts Voorgraads - Blok B,-,Energy,3739,JC Smuts Voorgraads - Blok B,Elster,Kocos,A1140,48103105,LiMo R2,-,-,-,-,-,-33.93107152,18.86549959,-,0,-,2022/05/01 00:00
-,JC Smuts 11 kV,-,Merriman Laan 60 - Informasietegnologie,-,Energy,2670,Merriman Laan 60 - Informasietegnologie,Elster,Kocos,A1140,68509067,LiMo R2,-,-,-,-,-,-33.93080446,18.86588583,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,-,-,Energy,2708,Konservatorium 11 kV,Elster,Kocos,A1700,51500307,LiMo-DIN,-,-,-,-,-,-33.93412225,18.86613164,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Huis De Villiers Hooftoevoer,Energy,2729,Huis De Villiers Hittepompe,Elster,Kocos,A1140,68509016,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Huis De Villiers Hooftoevoer,Energy,3128,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Huis De Villiers Hooftoevoer,Energy,2728,Huis De Villiers Hooftoevoer,Elster,Kocos,A1140,68509015,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Konservatorium Sentrale Lugversorging,Energy,2841,Konservatorium Sentrale Lugversorging,Elster,Kocos,A1700,51500301,LiMo-DIN,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Konservatorium vir Musiek - VM Remainder,Energy,3906,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3633,07 Bosman Straat ,Elster,Kocos,A1140,48101953,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3632,09 Bosman Straat,Elster,Kocos,A1140,48101954,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3634,11 Bosman Straat ,Elster,Kocos,A1140,48101952,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3623,15 Bosman Straat,Elster,Kocos,A1140,48101874,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3646,37 Bosman Straat,Elster,Kocos,A1140,48101947,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3638,06 Murray Straat ,Elster,Kocos,A1140,48101870,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3639,10 Murray Straat,Elster,Kocos,AS230,43110656,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3637,12A Murray Straat,Elster,Kocos,A1140,48101869,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3636,12B Murray Straat ,Elster,Kocos,A1140,48101950,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3635,14 Murray Straat ,Elster,Kocos,A1140,48101871,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3640,Taaldiens,Elster,Kocos,AS230,43105679,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3631,37 Victoria Straat ,Elster,Kocos,A1140,48101951,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3644,39 Victoria Straat,Elster,Kocos,A1140,48101948,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3645,41 Victoria Straat,Elster,Kocos,A1140,48101956,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3651,43 Victoria Straat,Elster,Kocos,A1140,48101941,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3643,45 Victoria Straat ,Elster,Kocos,A1140,48101949,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,3641,49 Victoria Straat,Elster,Kocos,A1140,48101955,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,Skuilhoek Kiosk,Energy,2709,Skuilhoek Kiosk,Elster,Kocos,A1700,48124712,LiMo-DIN,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Konservatorium 11 kV,-,Konservatorium T1 & T2,-,Energy,2843,Konservatorium T1 & T2,Elster,Kocos,A1700,71500362,LiMo-DIN,-,-,-,-,-,-33.93444638,18.86601887,-,0,-,2022/05/01 00:00
-,Kweekskool Toevoer - VM Site Total,-,-,-,Energy,3380,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-33.93845256,18.86392957,-,0,-,2022/05/01 00:00
-,Kweekskool Toevoer - VM Site Total,-,Kweekskool Argief,-,Energy,2759,Kweekskool Argief,ELSTER,Kocos,A1140,98132511,LiMo R2,-,-,-,-,-,-33.9395045,18.86370959,-,0,-,2022/05/01 00:00
-,Kweekskool Toevoer - VM Site Total,-,Kweekskool Attie van Wyk HVAC,-,Energy,2758,Kweekskool Attie van Wyk HVAC,ELSTER,Kocos,A1140,98132510,LiMo R2,-,-,-,-,-,-33.93870532,18.863767,-,0,-,2022/05/01 00:00
-,Kweekskool Toevoer - VM Site Total,-,Kweekskool Biblioteek,-,Energy,2757,Kweekskool Biblioteek ,ELSTER,Kocos,A1140,98132414,LiMo R2,-,-,-,-,-,-33.93857036,18.863767,-,0,-,2022/05/01 00:00
-,Kweekskool Toevoer - VM Site Total,-,Kweekskool Biblioteek HVAC,-,Energy,2756,Kweekskool Biblioteek HVAC,Elster,Kocos,A1140,98132512,LiMo R2,-,-,-,-,-,-33.93864975,18.86417529,-,0,-,2022/05/01 00:00
-,Kweekskool Toevoer - VM Site Total,-,Kweekskool Gebou,Kweekskool Kafeteria,Energy,2956,Kweekskool Kafeteria,Elster,Kocos,A1140,98132332,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Kweekskool Toevoer - VM Site Total,-,Kweekskool Gebou,-,Energy,2755,Kweekskool Gebou,Elster,Kocos,A1140,98102340,LiMo R2,-,-,-,-,-,-33.93868944,18.86417848,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,-,-,Energy,2716,Lettere 11 kV,ELSTER,Kocos,A1700,61102030,LiMo-DIN,6176,84,1,113,Lettere 11kv,-33.93225303,18.86081686,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Adam Small Mini-sub - VM,Adam Small Theatre Complex,Energy,6960,Adam Smal Theatre Complex Incomer,Elster,Kocos,A1140,78520563,LiMo R2,4040,28,1,1026,Adam small theatre complex incomer,-33.93413438,18.86083413,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Adam Small Mini-sub - VM,CL Marais Biblioteek,Energy,2741,CL Marais Biblioteek,Elster,Kocos,A1140,58500460,LiMo R2,4140,109,1,1007,Cl marais biblioteek,-33.93373553,18.86157146,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Adam Small Mini-sub - VM,Ou Hoof Gebou Toevoer,Energy,2740,Ou Hoof Gebou Toevoer,Elster,Kocos,A1140,58500459,LiMo R2,4140,109,1,1007,Ou hoof gebou toevoer,-33.93373548,18.86157023,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Adam Small Mini-sub - VM,-,Energy,6868,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-33.93346461,18.86119817,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,Crozier Kiosk,Energy,4200,Crozier Street 18: Law Clinic,Elster,Kocos,AS230,43110542,LiMo R2,-,0,-,-,Crozier  street 18: law clinic,-33.93301593,18.86105692,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,Crozier Kiosk,Energy,4202,Crozier Street 20: Law Clinic,Elster,Kocos,AS230,43110639,LiMo R2,6176,0,-,Outside,Crozier street 20: law clinic,-33.93301899,18.86105742,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,Crozier Kiosk,Energy,4201,Crozier Street 22: Law Clinic,Elster,Kocos,AS230,43110545,LiMo R2,6176,0,-,Outside,Crozier street 22: law clinic,-33.93301649,18.86106128,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,Crozier Kiosk,Energy,4203,Crozier Street 24: Law Clinic,Elster,Kocos,AS230,43110635,LiMo R2,6176,0,-,-,Crozier street 24: law clinic,-33.93301983,18.86106144,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,Crozier Kiosk,Energy,2725,Joernalistiek - Nuwe Anneks (Crozierstr 26),Elster,Kocos,A1140,68900802,LiMo R2,6176,0,-,Outside,Joernalistiek - nuwe anneks (crozier st 26),-33.93301278,18.86105658,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,Crozier Kiosk,Energy,2726,Joernalistiek (Crozierstr 26),Elster,Kocos,A1140,68905743,LiMo R2,6176,0,-,Outside,Joernalistiek (crozier 26),-33.93301278,18.86105994,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,Crozier Kiosk,Energy,2760,Crozier Kiosk,Elster,Kocos,A1140,58500437,LiMo R2,7176,0,-,Outside,Crozier kiosk,-33.93272983,18.86143762,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,Crozierhof Woonstelle,Energy,2761,Crozierhof Woonstelle,Elster,Kocos,A1140,58500449,LiMo R2,6176,0,-,Outside,Crozier hoff woonstelle,-33.93273247,18.86143762,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,GG Cillie Main,Energy,6958,GG Cilliers - AC,Elster,Kocos,A1140,78520203,LiMo R2,6176,47,-1,3,Gg cilliers - ac,-33.93283568,18.8615567,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,GG Cillie Main,Energy,6957,GG Cilliers - Main Incomer,Elster,Kocos,A1140,78520205,LiMo R2,-,47,-1,3,Gg cilliers  - main incomer,-33.93282789,18.86155581,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,GG Cillie Mini-sub,-,Energy,5794,GG Cillie Mini-sub,Elster,Kocos,A1140,78520202,LiMo R2,6176,0,-,Outside,Gg cilliers minisub,-33.93272705,18.86143712,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Lettere Hoof Skakelbord,Lettere Cell C,Energy,2751,Lettere Cell C ,Elster,Kocos,A1140,88921108,LiMo R2,6176,84,1,113,Lettere Cell c,-33.93228827,18.86078154,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Lettere Hoof Skakelbord,Lettere en Sosiale Wetenskappe -  3de Vloer HVAC,Energy,3733,Lettere en Sosiale Wetenskappe -  3de Vloer HVAC,Elster,Kocos,A1140,48103100,LiMo R2,-,84,1,113,Lettere en sosiale wetenskappe - 3de vloer hvac,-33.93228827,18.86081999,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Lettere Hoof Skakelbord,Lettere en Sosiale Wetenskappe - AC Plantroom,Energy,3731,Lettere en Sosiale Wetenskappe - AC Plantroom,Elster,Kocos,A1140,48103097,LiMo R2,-,84,1,113,Letere en sosiale wetenskappe - ac plant room,-33.93228586,18.86080256,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Lettere Hoof Skakelbord,Lettere en Sosiale Wetenskappe - Ketel Kamer,Energy,3729,Lettere en Sosiale Wetenskappe - Ketel Kamer,Elster,Kocos,A1140,48103106,LiMo R2,6176,84,1,113,Lettere en sosiale wetenskappe - ketel kamer,-33.93228475,18.86078713,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Lettere Hoof Skakelbord,Lettere MTN,Energy,2749,Lettere MTN ,Elster,Kocos,A1140,68900799,LiMo R2,6176,84,1,113,Lettere  Mtn,-33.93228122,18.86077864,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Lettere Hoof Skakelbord,Lettere Vodacom,Energy,2750,Lettere  Vodacom ,Elster,Kocos,A1140,68900801,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Lettere 11 kV,-,Lettere Hoof Skakelbord,-,Energy,2747,Lettere Hoof Skakelbord,Elster,Kocos,A1700,51500300,LiMo-DIN,6176,84,1,112,Lettere hoof skakelbord,-33.93225693,18.86085441,-,0,-,2022/05/01 00:00
-,Lobelia Toevoer,-,-,-,Energy,3756,Lobelia Toevoer,Elster,Kocos,A1140,48103067,LiMo R2,-,-,-,-,-,-33.92878225,18.85873681,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,-,-,Energy,2656,LSS Toevoer 11kV,ELSTER,Kocos,A1700,51500264,LiMo R2,-,-,-,-,-,-33.93314723,18.86526595,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Admin A (Noord),-,Energy,2671,Admin A (Noord),Elster,Kocos,A1140,58500456,LiMo R2,-,-,-,-,-,-33.93318383,18.86293196,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Admin A (Suid),-,Energy,2647,Admin A (Suid),Elster,Kocos,A1140,58500453,LiMo R2,-,-,-,-,-,-33.93296153,18.86324455,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Admin Blok B,-,Energy,2646,Admin Blok B,ELSTER,Kocos,A1140,58500452,LiMo R2,-,-,-,-,-,-33.93360384,18.86323946,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Admin Blok C,-,Energy,2678,Admin Blok C,ELSTER,Kocos,A1140,58500434,LiMo R2,-,-,-,-,-,-33.93359855,18.86362223,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,AI Perold,-,Energy,2686,AI Perold,ELSTER,Kocos,A1140,58500480,LiMo R2,-,-,-,-,-,-33.93255803,18.86482222,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Bedryfsielkunde,-,Energy,2640,Bedryfsielkunde,Elster,Kocos,A1140,58500451,LiMo R2,-,-,-,-,-,-33.93169938,18.86415665,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,De Beers Gebou - Chemie,-,Energy,2685,De Beers Gebou - Chemie,ELSTER,Kocos,A1140,58500471,LiMo R2,-,-,-,-,-,-33.93166788,18.86619919,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Geologie/Kamer van Mynwese,-,Energy,2679,Geologie/Kamer van Mynwese,Elster,Kocos,A1140,58500470,LiMo R2,-,-,-,-,-,-33.93147044,18.86220976,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,JH Neethling Hooftoevoer,Bedryfsielkunde Lugversorging,Energy,2684,Bedryfsielkunde Lugversorging,ELSTER,Kocos,A1140,58500475,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,JH Neethling Hooftoevoer,JH Neethling - Chiller,Energy,5986,JH Neethling - Chiller ,Elster,Kocos,A1140,68508063,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,JH Neethling Hooftoevoer,JH Neethling VM Remainder,Energy,6171,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,JH Neethling Hooftoevoer,-,Energy,5845,JH Neethling Hooftoevoer,Elster,Kocos,A1140,78520562,LiMo R2,-,-,-,-,-,-33.93361427,18.86465887,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,JS Marais Toevoer,-,Energy,2641,JS Marais Toevoer,Elster,Kocos,A1140,58500472,LiMo R2,-,-,-,-,-,-33.93329996,18.86627083,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,LSS Meganiese Substasie,Sentrale Lugversorging,Energy,2644,Neelsie Sentrale Lugversorging,Elster,Kocos,A1700,51500202,LiMo-DIN,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,LSS Meganiese Substasie,Visuele Kunste Lugreeling (Vanaf Studentesentrum),Energy,2844,Visuele Kunste Lugreeling (Vanaf Studentesentrum),Elster,Kocos,A1700,51500267,LiMo-DIN,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,LSS Meganiese Substasie,-,Energy,2645,LSS Meganiese Substasie,Elster,Kocos,A1700,51500201,LiMo-DIN,-,-,-,-,-,-33.93236687,18.8661088,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Merensky Gebou,-,Energy,2683,Merensky Gebou,ELSTER,Kocos,A1140,58500431,LiMo R2,-,-,-,-,-,-33.93191013,18.86507998,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Natuurwetenskap Glashuis,-,Energy,2653,Natuurwetenskap Glashuis ,Elster,Kocos,A1140,68509011,LiMo R2,-,-,-,-,-,-33.93149447,18.86238764,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Cell C,Energy,2674,Cell C,ELSTER,Kocos,A1140,98129708,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Learning Commons,Energy,3417,Learning Commons,Elster,Kocos,A1140,38146941,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,MTN,Energy,2673,MTN,ELSTER,Kocos,A1140,98129706,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie MTN,Energy,3713,Neelsie MTN,Elster,Kocos,AS230,43105668,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3336,5.4 Kwikspar,Elster,Kocos,A1140,38146902,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3411,Bank 1 Nedbank,Elster,Kocos,A1140,38146939,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3513,G01 Tamaties,Elster,Kocos,A1140,38146923,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3514,G02 Neelsie Eiendomme,Elster,Kocos,A1140,38146929,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3515,G03 Knots Hair Salon,Elster,Kocos,A1140,38146924,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3516,G04A My Brew Shop,Elster,Kocos,A1140,38146926,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3578,G04B Stellies,Elster,Kocos,A1140,38146922,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3529,G05 Van Schaik Boekhandel,Elster,Kocos,A1140,38146931,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3530,G06 Mellin & Partners,Elster,Kocos,A1140,38146930,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3531,G07A Vakant,Elster,Kocos,A1140,38146925,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3549,G7B Sleutels & Tekens,Elster,Kocos,A1140,38146769,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3556,G8 - Matieshop,Elster,Kocos,A1140,38146906,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3552,G08A My Brew Kiosk,Elster,Kocos,A1140,38146935,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3532,G09 Unistat,Elster,Kocos,A1140,38146927,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3540,G10 Vakant,Elster,Kocos,A1140,38146763,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3553,G11B Romans Pizza,Elster,Kocos,A1140,38146968,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3576,G12 Pimp My Book,Elster,Kocos,A1140,38146966,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3579,G13 Pulp Cinema,Elster,Kocos,A1140,38146928,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3557,G14 Reisburo,Elster,Kocos,A1140,38146767,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3538,G15 Reisburo,Elster,Kocos,A1140,38146905,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3539,G16 Reisburo,Elster,Kocos,A1140,38146904,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3554,G17 Stelkor,Elster,Kocos,A1140,38146765,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3542,G18 Bliss,Elster,Kocos,A1140,38146768,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3545,G19 Amaboko,Elster,Kocos,A1140,38146770,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3546,G20 Cell Version,Elster,Kocos,A1140,38146766,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3548,G21 Poskantoor,Elster,Kocos,A1140,38146762,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3413,K8 Standard Bank,Elster,Kocos,A1140,38146908,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,LSS Toevoer 11kV,-,Neelsie Studente Sentrum,Neelsie Tenants - VM,Energy,3343,K09 Vlambojant,Elster,Kocos,A1140,38146962,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
