Campus,Precinct,Reticulation,Building,Meter Name,Meter Type,meter_id,description,make,manufacturer,type,Serial Number,model,yard_number,Building_No,Floor,Room_No,Meter_Description,Latitude,Longitude,IP_Address,Port,Location,Starting date
Stellenbosch University,Coetzenburg 11 kV,-,Swembad Minisub,Coetzenburg Sentrum,Energy,2848,Coetzenburg Sentrum,Elster,Kocos,A1140,58500669,LiMo R2,306/2,171,1,1002,Coetzenburg sentrum,-33.94064548,18.87086475,-,0,-,2022/05/01 00:00
Stellenbosch University,Coetzenburg 11 kV,-,Swembad Minisub,Swembadpompe,Energy,2639,Swembadpompe,Elster,Kocos,A1140,58500661,LiMo R2,306/2,171,1,1002,Swembad pompe,-33.94064265,18.87086229,-,0,-,2022/05/01 00:00
Stellenbosch University,Coetzenburg 11 kV,-,Swembad Minisub,-,Energy,2856,Swembad Minisub,Elster,Kocos,A1140,78520491,LiMo R2,306/2,0,1,Outside,Swembad minisub,-33.94067001,18.87089593,146.232.146.140,8025,Local,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,-,-,Energy,2739,Erica 11 kV,Elster,Kocos,A1700,51500260,LiMo-DIN,-,-,-,-,-,-33.93471243,18.87145327,146.232.146.140,8059,Local,2022/05/01 00:00
Stellenbosch University,Erica 11 kV,-,Erica Koshuis,-,Energy,2731,Erica Koshuis,Elster,Kocos,A1140,68509072,LiMo R2,-,-,-,-,-,-33.9354,18.872,146.232.146.140,8027,Local,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Heemstede Annex (Huismoles),Energy,3001,Heemstede Annex (Huismoles),Elster,Kocos,A1140,68509018,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Heemstede Hittepompe,Energy,2998,Heemstede Hittepompe,Elster,Kocos,A1140,68509014,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Heemstede Hooftoevoer - VM Remainder,Energy,5797,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Heemstede Kombuis,Energy,2996,Heemstede Kombuis,Elster,Kocos,A1140,68509070,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Huis Ten Bosch Lydia Hittepompe,Energy,3002,Huis Ten Bosch Lydia Hittepompe,Elster,Kocos,A1140,68509045,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Huis Ten Bosch Toevoer,Energy,3000,Huis Ten Bosch Kombuis,Elster,Kocos,A1140,68509028,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Huis Ten Bosch Toevoer,Energy,3138,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Huis Ten Bosch Toevoer,Energy,2999,Huis Ten Bosch Toevoer,Elster,Kocos,A1140,68509029,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Erica 11 kV,-,Heemstede Hooftoevoer,Lydia Toevoer,Energy,2958,Lydia Kombuis,Elster,Kocos,A1140,68509032,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
