7,1,2,4,1,63,0,0
7,1,2,4,2,52,0,0
7,1,2,4,3,49,0,0
7,1,2,4,4,55,0,0
7,1,2,4,5,70,0,0
7,1,2,4,6,75,0,0
7,1,2,4,7,85,0,0
7,1,2,4,8,74,0,0
7,1,2,4,9,77,0,0
7,1,2,4,10,99,0,0
7,1,2,4,11,91,0,0
7,1,2,4,12,95,0,0
7,1,2,4,13,132,0,0
7,1,2,4,14,187,0,0
7,1,2,4,15,212,0,0
7,1,2,4,16,248,0,0
7,1,2,4,17,194,0,0
7,1,2,4,18,146,0,0
7,1,2,4,19,151,0,0
7,1,2,4,20,167,0,0
7,1,2,4,21,176,0,0
7,1,2,4,22,185,0,0
7,1,2,4,23,214,0,0
7,1,2,4,24,228,0,0
7,1,2,4,25,242,0,0
7,1,2,4,26,207,0,0
7,1,2,4,27,249,0,0
7,1,2,4,28,228,0,0
7,1,2,4,29,237,0,0
7,1,2,4,30,247,0,0
